NumHiddenLayers,HiddenLayerSize,TrainingFn,Regularization,TrainingError,TestError,NumberOfEpochs,Out1Tar1,Out1Tar2,Out1Tar3,Out2Tar1,Out2Tar2,Out2Tar3,Out3Tar1,Out3Tar2,Out3Tar3
2,10,traingdx,0.5,0.402178226858616,0.460210930009588,1000,259,92,52,33,32,63,39,201,272
2,10,traingdx,1,9.40249249216813e-11,0.688398849472675,167,0,0,0,331,325,387,0,0,0
2,10,trainrp,0,0.726926608490249,0.341323106423778,1000,252,55,24,62,172,100,17,98,263
2,10,trainrp,0.1,0.679691444655696,0.340364333652924,1000,262,63,26,54,155,90,15,107,271
2,10,trainrp,0.2,0.614670520865148,0.357622243528284,1000,254,64,26,65,152,97,12,109,264
2,10,trainrp,0.5,0.402178203475978,0.460210930009588,523,259,92,52,33,32,63,39,201,272
2,10,trainrp,1,2.72729688328698e-09,0.682646212847555,28,331,325,387,0,0,0,0,0,0
2,10,trainbfg,0,0.709272785399828,0.351869606903164,1000,255,72,27,56,163,102,20,90,258
2,10,trainbfg,0.1,0.677535298955093,0.348034515819751,777,258,61,26,60,160,99,13,104,262
2,10,trainbfg,0.2,0.614082403213292,0.352828379674017,448,256,63,29,61,153,92,14,109,266
2,10,trainbfg,0.5,0.402178190900795,0.460210930009588,142,259,92,52,33,32,63,39,201,272
2,10,trainbfg,1,1.18085008710409e-31,0.682646212847555,1,331,325,387,0,0,0,0,0,0
2,10,trainbr,0,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,10,trainbr,0.1,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,10,trainbr,0.2,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,10,trainbr,0.5,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,10,trainbr,1,0.254111008281406,0.346116970278044,1000,252,64,24,66,165,98,13,96,265
2,20,traingd,0,0.813643444986882,0.494726749760307,1000,257,105,94,56,119,142,18,101,151
2,20,traingd,0.1,0.763117685513732,0.49568552253116,1000,263,109,98,55,121,147,13,95,142
2,20,traingd,0.2,0.712095954647128,0.49568552253116,1000,264,112,99,55,124,150,12,89,138
2,20,traingd,0.5,0.557078218425132,0.519654841802493,1000,234,102,85,84,139,174,13,84,128
